"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"RYYPYB","RYYPYB",1,1,NA,NA,NA,17245,NA,17377,17450
"RYYPYY","RYYPYY",1,1,NA,NA,NA,17245,NA,NA,NA
"RYYRBB","RYYRBB",2,1,NA,17031,NA,17253,17313,17376,17452
"RYYRBG","RYYRBG",1,1,NA,17031,NA,NA,NA,NA,NA
"RYYRBR","RYYRBR",1,1,NA,17031,NA,17253,NA,17376,NA
"RYYRBY","RYYRBY",1,1,NA,17031,NA,NA,NA,17376,NA
"RYYRDB","RYYRDB",2,1,NA,17031,17086,17245,17312,17377,NA
"RYYRDG","RYYRDG",1,2,NA,17030,NA,17244,NA,17375,17449
"RYYRDP","RYYRDP",2,1,NA,17031,17086,NA,NA,NA,NA
"RYYRGG","RYYRGG",2,2,NA,17030,NA,NA,NA,NA,NA
"RYYRGP","RYYRGP",1,2,NA,17030,17085,NA,17311,NA,NA
"RYYRGY","RYYRGY",1,2,NA,17030,17085,NA,NA,NA,NA
"RYYRPB","RYYRPB",1,1,NA,17031,NA,NA,NA,NA,NA
"RYYRPD","RYYRPD",1,1,NA,17031,17086,17245,NA,17377,NA
"RYYRPR","RYYRPR",1,1,NA,17031,NA,NA,NA,NA,NA
"RYYRPY","RYYRPY",1,1,NA,17031,17086,NA,NA,17377,17450
"RYYRRD","RYYRRD",1,2,NA,17030,NA,NA,NA,NA,NA
"RYYRRG","RYYRRG",1,2,NA,17030,17085,NA,NA,NA,NA
"RYYRRR","RYYRRR",1,2,NA,17030,NA,17243,NA,17374,17451
"RYYRRY","RYYRRY",2,2,NA,17030,NA,17243,NA,17374,NA
"RYYRYD","RYYRYD",1,2,NA,17030,17085,NA,NA,NA,NA
"RYYRYR","RYYRYR",2,2,NA,17030,17085,17244,NA,17375,NA
"RYYRYY","RYYRYY",2,2,NA,17030,17085,NA,NA,NA,NA
"RYYYBG","RYYYBG",3,1,NA,NA,17086,NA,NA,NA,NA
"RYYYBR","RYYYBR",3,3,NA,NA,17085,NA,17312,NA,NA
"RYYYBY","RYYYBY",2,1,NA,NA,17086,17245,17312,17377,17450
"RYYYDD","RYYYDD",1,3,NA,NA,17085,NA,NA,NA,NA
"RYYYDG","RYYYDG",2,3,NA,NA,17085,NA,NA,17378,NA
"RYYYDP","RYYYDP",3,3,NA,NA,17085,17254,NA,NA,17450
"RYYYDR","RYYYDR",3,3,NA,NA,17085,17254,NA,NA,NA
"RYYYDY","RYYYDY",2,3,NA,NA,17085,17254,NA,NA,NA
"RYYYGB","RYYYGB",2,2,NA,NA,17085,NA,NA,NA,NA
"RYYYGD","RYYYGD",1,2,NA,NA,17085,NA,NA,NA,NA
"RYYYGP","RYYYGP",2,2,NA,NA,17085,NA,NA,17374,NA
"RYYYGR","RYYYGR",3,2,NA,NA,17085,NA,NA,17374,NA
"RYYYPR","RYYYPR",2,3,NA,NA,17085,NA,NA,17378,17450
"RYYYRB","RYYYRB",1,2,NA,NA,17085,NA,17311,17374,17451
"RYYYRD","RYYYRD",2,2,NA,NA,17085,NA,NA,NA,NA
"RYYYRP","RYYYRP",1,2,NA,NA,17085,NA,NA,NA,NA
"RYYYRY","RYYYRY",2,2,NA,NA,17085,NA,17311,NA,NA
"RYYYYB","RYYYYB",1,3,NA,NA,17085,17254,NA,17378,17450
"RYYYYP","RYYYYP",3,3,NA,NA,17085,17255,NA,NA,NA
